id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,target
1366,Female,disloyal Customer,25,Business travel,Eco Plus,2152,2,2,2,3,1,2,1,1,3,4,4,2,4,1,0,0.0,0
1367,Female,Loyal Customer,26,Personal Travel,Eco,1184,3,3,3,3,4,5,4,5,5,5,5,5,5,5,0,0.0,1
1368,Male,Loyal Customer,35,Business travel,Eco,2457,1,4,4,4,1,1,1,1,2,3,3,3,2,1,1,0.0,0
1369,Female,Loyal Customer,14,Personal Travel,Eco Plus,3119,4,4,4,4,4,5,5,5,5,5,5,4,5,5,0,14.0,1
1370,Male,Loyal Customer,48,Business travel,Business,1789,4,4,2,2,5,3,4,4,4,4,4,4,4,4,52,47.0,0
1371,Female,Loyal Customer,62,Personal Travel,Eco,1760,5,5,5,5,4,4,4,4,4,2,4,4,4,4,61,60.0,1
1372,Male,Loyal Customer,7,Personal Travel,Eco,1575,2,2,2,3,3,2,3,3,2,4,3,3,3,3,8,20.0,0
1373,Female,Loyal Customer,43,Personal Travel,Eco,400,4,4,4,4,3,5,4,4,4,4,4,4,4,3,0,0.0,1
1374,Male,Loyal Customer,17,Personal Travel,Eco,2257,1,1,1,3,4,1,4,4,1,1,3,3,2,4,0,9.0,0
1375,Female,Loyal Customer,48,Personal Travel,Eco,444,5,5,5,2,4,4,4,4,4,5,4,4,4,4,0,0.0,1
1376,Male,Loyal Customer,28,Business travel,Eco,1499,3,2,2,2,3,3,3,3,4,4,4,3,3,3,17,12.0,0
1377,Male,Loyal Customer,10,Personal Travel,Eco,1565,5,5,5,4,1,5,1,1,4,4,5,4,5,1,1,0.0,1
1378,Male,Loyal Customer,22,Business travel,Business,2759,3,1,1,1,3,3,3,3,4,4,3,2,3,3,6,0.0,0
1379,Female,Loyal Customer,56,Business travel,Business,249,2,2,2,2,2,4,5,4,4,4,4,5,4,3,4,6.0,1
1380,Male,Loyal Customer,59,Personal Travel,Eco,4374,1,4,2,3,2,2,2,2,5,3,4,5,4,2,0,0.0,0
1381,Male,Loyal Customer,13,Personal Travel,Eco,1918,1,4,1,2,5,1,5,5,4,3,4,4,4,5,0,11.0,0
1382,Female,disloyal Customer,20,Business travel,Eco,1578,2,3,2,3,4,2,1,4,4,1,3,2,4,4,10,10.0,0
1383,Male,disloyal Customer,21,Business travel,Business,1971,4,2,4,1,4,4,4,4,5,3,4,4,4,4,0,0.0,1
1384,Female,disloyal Customer,30,Business travel,Eco,2127,3,3,4,3,2,4,4,2,4,1,4,2,3,2,47,40.0,0
1385,Male,disloyal Customer,39,Business travel,Business,2451,2,2,2,2,5,2,5,5,4,5,5,4,5,5,0,0.0,0
1386,Male,Loyal Customer,61,Personal Travel,Eco,2740,5,5,5,3,4,5,4,4,4,5,5,5,5,4,0,0.0,1
1387,Female,Loyal Customer,13,Personal Travel,Eco,2158,5,4,4,5,5,4,5,5,5,3,4,4,4,5,0,0.0,1
1388,Female,disloyal Customer,27,Business travel,Business,2404,3,3,3,2,3,3,3,5,4,5,4,3,5,3,161,200.0,0
1389,Female,Loyal Customer,39,Business travel,Business,2187,3,3,3,3,5,5,4,5,5,5,5,5,5,3,0,0.0,1
1390,Female,Loyal Customer,63,Personal Travel,Eco,289,4,4,4,4,5,5,5,5,5,3,5,4,5,5,49,45.0,1
1391,Male,Loyal Customer,19,Business travel,Business,1447,3,2,2,2,3,3,3,3,4,3,4,3,4,3,1,0.0,0
1392,Female,Loyal Customer,40,Personal Travel,Eco,2744,5,5,1,5,4,4,4,4,4,5,4,3,4,4,2,0.0,1
1393,Male,Loyal Customer,57,Business travel,Business,1554,4,4,4,4,5,5,5,5,5,4,5,4,5,5,0,0.0,1
1394,Male,Loyal Customer,63,Personal Travel,Eco,1215,2,2,2,4,1,2,1,1,1,5,4,2,4,1,125,121.0,0
1395,Male,Loyal Customer,28,Business travel,Business,2310,5,5,4,5,5,5,5,5,3,5,4,5,5,5,219,249.0,1
1396,Female,Loyal Customer,24,Business travel,Business,3785,3,3,3,3,5,5,5,5,3,4,5,4,5,5,37,36.0,1
1397,Female,Loyal Customer,15,Business travel,Business,2930,3,3,3,3,4,4,4,4,4,4,4,4,4,4,0,0.0,1
1398,Male,Loyal Customer,57,Personal Travel,Eco,1389,3,5,3,1,4,3,4,4,4,4,4,5,5,4,0,0.0,0
1399,Male,Loyal Customer,45,Personal Travel,Eco,1466,1,1,1,3,5,1,5,5,4,1,3,4,4,5,0,0.0,0
1400,Female,Loyal Customer,43,Business travel,Business,1797,1,1,1,1,2,3,5,5,5,5,5,5,5,3,36,42.0,1
1401,Female,Loyal Customer,60,Business travel,Eco,2167,2,3,2,3,1,3,2,2,2,2,2,4,2,3,40,16.0,0
1402,Female,disloyal Customer,20,Business travel,Business,1885,5,4,5,3,1,5,1,1,3,2,5,5,5,1,0,0.0,1
1403,Female,disloyal Customer,13,Business travel,Eco,2269,3,3,3,3,4,3,4,4,2,1,4,4,3,4,0,12.0,0
1404,Female,Loyal Customer,37,Business travel,Eco,1273,3,2,2,2,3,4,3,3,3,2,5,1,5,3,0,0.0,1
1405,Male,Loyal Customer,69,Business travel,Business,3969,2,2,2,2,3,5,1,3,3,2,3,1,3,1,8,14.0,1
1406,Female,disloyal Customer,20,Business travel,Eco,2523,3,2,2,3,1,2,1,1,1,3,3,3,4,1,119,114.0,0
1407,Male,disloyal Customer,13,Business travel,Eco,1853,3,3,3,4,2,3,2,2,4,3,3,1,4,2,19,0.0,0
1408,Female,disloyal Customer,24,Business travel,Business,2036,4,3,4,4,2,4,2,2,3,3,4,3,5,2,7,34.0,1
1409,Female,Loyal Customer,14,Personal Travel,Eco,1840,5,5,5,5,4,4,5,4,4,4,4,5,4,5,0,0.0,1
1410,Male,Loyal Customer,54,Business travel,Business,3384,4,4,4,4,2,4,5,4,4,4,4,4,4,4,26,22.0,1
1411,Female,Loyal Customer,46,Personal Travel,Eco,982,4,4,4,4,5,4,5,4,4,4,4,5,4,5,0,0.0,1
1412,Female,Loyal Customer,44,Business travel,Business,2200,4,4,5,4,2,5,5,5,5,5,5,5,5,4,43,23.0,1
1413,Female,disloyal Customer,15,Business travel,Eco,2294,5,5,5,2,4,5,4,4,3,5,5,5,4,4,0,0.0,1
1414,Male,Loyal Customer,44,Business travel,Business,2173,3,3,1,3,5,5,4,2,2,2,2,4,2,3,0,0.0,1
1415,Female,Loyal Customer,47,Business travel,Business,1037,1,1,1,1,3,3,4,1,1,1,1,4,1,4,0,8.0,0
1416,Male,Loyal Customer,46,Business travel,Eco,1440,2,3,3,3,2,2,2,2,2,1,2,3,4,2,29,27.0,1
1417,Female,disloyal Customer,27,Business travel,Eco,2282,3,3,3,4,4,3,4,4,1,3,4,2,1,4,0,0.0,0
1418,Female,Loyal Customer,25,Business travel,Business,4545,4,4,4,4,4,4,4,4,5,2,4,3,5,4,0,0.0,1
1419,Male,Loyal Customer,38,Business travel,Business,3054,1,1,1,1,4,5,3,4,4,4,3,3,4,3,46,49.0,1
1420,Male,Loyal Customer,50,Personal Travel,Eco,3209,1,3,1,4,2,1,2,2,2,5,2,4,4,2,0,0.0,0
1421,Male,Loyal Customer,40,Personal Travel,Eco,1999,2,5,2,3,3,2,1,3,4,2,4,3,4,3,0,0.0,0
1422,Male,Loyal Customer,57,Personal Travel,Business,63,3,5,3,5,4,5,4,2,2,3,2,2,2,1,14,7.0,0
1423,Female,Loyal Customer,37,Personal Travel,Eco,2597,4,5,4,5,4,2,4,1,4,1,1,4,2,4,207,188.0,0
1424,Female,Loyal Customer,30,Business travel,Business,3021,2,2,2,2,4,4,4,4,3,3,5,3,5,4,0,0.0,1
1425,Female,Loyal Customer,19,Personal Travel,Business,1664,0,2,0,4,5,3,3,4,4,0,4,1,4,2,0,0.0,1
1426,Male,Loyal Customer,58,Business travel,Eco Plus,1729,1,5,5,5,2,1,2,2,3,3,3,2,3,2,0,0.0,0
1427,Female,Loyal Customer,49,Business travel,Eco,592,4,1,1,1,5,2,3,4,4,4,4,2,4,1,0,0.0,0
1428,Male,Loyal Customer,43,Business travel,Business,3608,2,2,2,2,3,4,5,4,4,4,4,5,4,4,5,0.0,1
1429,Female,Loyal Customer,28,Personal Travel,Eco,2396,4,2,5,4,5,2,2,1,1,4,4,2,2,2,0,0.0,1
1430,Female,Loyal Customer,56,Business travel,Business,462,2,2,2,2,5,4,4,5,5,4,5,5,5,4,0,0.0,1
1431,Female,Loyal Customer,39,Business travel,Eco,2334,4,5,5,5,4,4,4,4,5,1,4,3,2,4,0,0.0,1
1432,Female,Loyal Customer,48,Business travel,Business,2753,5,4,5,5,4,4,5,4,4,4,4,3,4,3,0,0.0,1
1433,Male,disloyal Customer,23,Business travel,Eco,1949,4,4,4,1,3,4,1,3,3,5,5,5,4,3,78,93.0,0
1434,Male,Loyal Customer,36,Personal Travel,Eco Plus,1938,5,3,5,4,3,5,3,3,4,4,3,4,4,3,0,0.0,1
1435,Male,Loyal Customer,40,Business travel,Business,2487,2,2,2,2,2,4,4,4,4,4,4,5,4,3,5,0.0,1
1436,Male,Loyal Customer,31,Business travel,Business,4617,5,5,5,5,5,5,5,5,5,3,5,4,5,5,7,5.0,1
1437,Female,Loyal Customer,52,Personal Travel,Eco,1122,0,1,0,4,4,3,4,5,5,0,5,3,5,4,0,2.0,1
1438,Male,Loyal Customer,37,Business travel,Eco,1634,2,3,5,3,2,2,2,2,3,2,2,1,2,2,0,0.0,0
1439,Female,Loyal Customer,68,Business travel,Business,3043,1,1,4,1,3,2,4,5,5,5,5,1,5,3,0,0.0,1
1440,Male,disloyal Customer,17,Business travel,Eco,1581,4,1,4,3,4,4,5,4,1,3,3,4,3,4,6,1.0,0
1441,Male,Loyal Customer,52,Business travel,Eco Plus,3740,4,3,3,3,4,4,4,4,5,4,5,4,4,4,24,2.0,1
1442,Male,Loyal Customer,47,Personal Travel,Eco,1920,2,5,2,2,2,2,4,2,5,5,4,5,5,2,0,0.0,0
1443,Male,Loyal Customer,50,Business travel,Business,77,2,2,2,2,3,5,2,4,4,4,5,4,4,2,0,0.0,1
1444,Female,Loyal Customer,59,Business travel,Business,2720,1,4,4,4,1,2,2,1,1,1,1,4,1,1,43,36.0,0
1445,Male,disloyal Customer,22,Business travel,Business,2219,5,4,5,1,4,5,4,4,4,3,5,3,5,4,0,0.0,1
1446,Male,Loyal Customer,51,Business travel,Business,275,1,1,1,1,1,4,4,1,1,1,1,3,1,2,11,10.0,0
1447,Male,Loyal Customer,54,Business travel,Eco Plus,1867,4,1,1,1,4,4,4,4,2,4,5,3,5,4,0,0.0,1
1448,Female,disloyal Customer,22,Business travel,Eco,1967,2,2,2,4,5,2,5,5,4,4,4,4,4,5,0,1.0,0
1449,Male,Loyal Customer,32,Personal Travel,Eco Plus,1482,1,4,1,1,3,1,3,3,1,5,1,3,4,3,0,0.0,0
1450,Female,disloyal Customer,26,Business travel,Business,2397,2,2,2,2,2,2,2,2,4,4,4,3,5,2,0,0.0,0
1451,Male,Loyal Customer,29,Personal Travel,Eco,1972,1,4,1,3,5,1,5,5,4,2,5,5,4,5,7,0.0,0
1452,Male,Loyal Customer,13,Personal Travel,Eco,2314,3,4,3,3,4,3,4,4,4,4,4,4,5,4,0,0.0,0
1453,Male,Loyal Customer,57,Business travel,Business,473,4,3,3,3,5,3,4,4,4,4,4,3,4,3,0,0.0,0
1454,Female,disloyal Customer,23,Business travel,Eco,2330,1,1,1,4,3,1,3,3,5,3,1,2,5,3,0,0.0,0
1455,Female,Loyal Customer,43,Business travel,Business,2628,4,4,4,4,2,5,5,4,4,4,4,5,4,4,0,0.0,1
1456,Male,disloyal Customer,24,Business travel,Eco,2221,4,4,4,4,2,4,2,2,4,5,5,4,4,2,9,0.0,0
1457,Female,Loyal Customer,53,Business travel,Business,2865,3,3,5,3,5,4,5,5,5,5,5,4,5,3,0,0.0,1
1458,Female,Loyal Customer,23,Personal Travel,Eco,2033,4,5,4,5,3,4,3,3,5,5,3,5,4,3,0,0.0,0
1459,Female,Loyal Customer,33,Personal Travel,Eco,2234,4,4,4,4,2,5,4,5,5,5,5,4,5,5,0,0.0,1
1460,Female,Loyal Customer,50,Business travel,Business,2494,1,1,1,1,2,4,5,4,4,4,4,5,4,4,0,0.0,1
1461,Male,Loyal Customer,39,Business travel,Business,589,1,1,1,1,2,5,5,4,4,4,4,4,4,4,4,8.0,1
1462,Female,disloyal Customer,28,Business travel,Business,2533,1,1,1,3,5,1,5,5,5,4,5,5,4,5,0,0.0,0
1463,Female,Loyal Customer,12,Personal Travel,Eco Plus,1475,1,1,1,1,5,4,4,3,3,3,3,3,3,4,79,71.0,1
1464,Male,Loyal Customer,67,Business travel,Business,3563,2,5,5,5,5,3,2,2,2,2,2,2,2,2,27,18.0,0
1465,Male,Loyal Customer,36,Business travel,Eco,929,4,5,5,5,4,4,4,4,5,5,2,2,2,4,0,0.0,1
1466,Female,disloyal Customer,37,Business travel,Eco,1898,3,1,3,3,4,3,5,4,1,5,3,1,4,4,4,0.0,0
1467,Male,Loyal Customer,57,Business travel,Business,3856,3,3,3,3,3,4,5,4,4,4,3,1,4,2,0,5.0,1
1468,Male,Loyal Customer,39,Business travel,Business,2494,2,2,2,2,5,4,5,4,4,4,4,5,4,5,0,0.0,1
1469,Male,disloyal Customer,20,Business travel,Eco,1614,1,4,1,4,3,1,3,3,2,1,4,2,4,3,9,0.0,0
1470,Male,Loyal Customer,58,Business travel,Business,2594,2,2,2,2,2,2,2,3,5,4,4,2,3,2,0,0.0,1
1471,Female,Loyal Customer,32,Personal Travel,Eco,2591,4,2,4,1,5,4,5,5,1,1,2,1,1,5,17,0.0,1
1472,Female,Loyal Customer,56,Business travel,Business,2600,2,3,3,3,2,2,2,1,2,4,4,2,2,2,11,27.0,0
1473,Female,Loyal Customer,33,Business travel,Eco,1783,4,4,4,4,4,4,4,4,5,1,2,5,5,4,0,0.0,1
1474,Female,disloyal Customer,26,Business travel,Eco,2023,3,3,3,2,5,3,4,5,2,2,1,2,2,5,0,0.0,0
1475,Male,Loyal Customer,59,Business travel,Eco,2765,4,4,4,4,4,4,4,4,1,5,1,3,4,4,0,0.0,1
1476,Male,Loyal Customer,68,Personal Travel,Eco,1905,4,4,4,1,2,4,2,2,4,5,4,5,4,2,6,0.0,0
1477,Male,Loyal Customer,41,Business travel,Business,2093,4,1,4,4,1,3,3,4,4,4,4,2,4,4,69,53.0,0
1478,Female,Loyal Customer,37,Business travel,Business,1714,2,2,2,2,3,5,5,4,4,4,4,3,4,5,0,10.0,1
1479,Female,Loyal Customer,21,Personal Travel,Eco,2766,4,2,2,2,1,2,5,4,4,4,4,2,4,1,4,9.0,1
1480,Female,Loyal Customer,47,Business travel,Business,3282,1,5,5,5,2,4,4,1,1,1,1,2,1,4,23,17.0,0
1481,Female,Loyal Customer,49,Business travel,Business,978,5,5,5,5,3,4,4,5,5,5,5,4,5,3,0,0.0,1
1482,Female,Loyal Customer,67,Personal Travel,Eco,646,3,3,3,3,4,4,4,4,3,3,4,4,5,4,2,0.0,1
1483,Male,Loyal Customer,29,Business travel,Business,2169,2,2,2,2,4,4,4,4,3,2,5,3,4,4,15,13.0,1
1484,Male,Loyal Customer,31,Business travel,Business,3241,3,3,3,3,5,4,5,5,4,2,4,4,5,5,0,0.0,1
1485,Male,Loyal Customer,28,Business travel,Business,2197,2,4,4,4,2,2,2,2,3,5,3,3,3,2,0,0.0,0
1486,Female,disloyal Customer,22,Business travel,Eco,4880,2,1,1,3,2,4,4,3,3,4,4,4,4,4,0,0.0,0
1487,Male,Loyal Customer,47,Business travel,Business,2724,2,1,1,1,3,2,1,2,2,2,2,1,2,3,0,0.0,0
1488,Female,Loyal Customer,45,Business travel,Business,4067,3,3,3,3,3,3,3,2,1,3,3,3,2,3,141,136.0,0
1489,Male,Loyal Customer,56,Business travel,Business,1523,2,2,2,2,2,5,4,4,4,4,4,3,4,3,0,0.0,1
1490,Female,Loyal Customer,49,Business travel,Business,1999,5,5,5,5,1,3,1,5,5,5,5,3,5,4,17,5.0,1
1491,Female,disloyal Customer,36,Business travel,Eco,2664,3,2,2,3,3,2,3,3,4,4,2,3,4,3,90,71.0,0
1492,Female,Loyal Customer,30,Business travel,Business,1227,2,2,2,2,4,4,5,4,5,4,5,5,4,4,61,58.0,1
1493,Male,Loyal Customer,57,Business travel,Business,309,0,0,0,2,3,4,4,5,5,5,5,3,5,5,25,5.0,1
1494,Male,Loyal Customer,22,Personal Travel,Eco,2446,3,4,3,4,2,3,4,2,5,2,3,5,4,2,0,0.0,0
1495,Female,Loyal Customer,47,Personal Travel,Eco,565,3,2,1,2,3,4,3,3,3,1,2,5,4,3,0,0.0,1
1496,Male,Loyal Customer,56,Business travel,Business,2518,1,2,2,2,3,3,4,1,1,1,1,4,1,3,0,0.0,0
1497,Female,Loyal Customer,31,Business travel,Business,1627,1,1,5,1,4,4,5,4,4,4,5,5,1,4,0,0.0,1
1498,Male,Loyal Customer,44,Business travel,Business,3284,2,3,3,3,2,3,3,2,2,2,2,4,2,4,92,79.0,0
1499,Male,Loyal Customer,9,Personal Travel,Business,2294,4,1,4,2,2,4,2,2,2,5,1,3,1,2,4,0.0,1
1500,Male,Loyal Customer,25,Business travel,Eco Plus,1600,4,4,4,4,4,4,2,4,2,3,3,1,3,4,3,0.0,0
1501,Male,disloyal Customer,37,Business travel,Business,1863,3,3,3,2,1,3,1,1,1,5,2,3,2,1,0,0.0,0
1502,Female,Loyal Customer,69,Personal Travel,Eco Plus,570,2,5,5,5,2,2,5,1,1,2,1,4,1,1,0,8.0,1
1503,Male,Loyal Customer,20,Personal Travel,Business,2316,3,4,3,4,5,3,5,5,3,4,4,4,4,5,17,2.0,0
1504,Female,Loyal Customer,24,Personal Travel,Eco,1988,1,1,1,1,5,4,5,5,5,5,5,5,5,4,0,0.0,1
1505,Male,disloyal Customer,37,Business travel,Eco,4188,2,2,2,3,2,1,5,4,3,4,1,5,4,5,113,102.0,0
1506,Female,Loyal Customer,33,Business travel,Business,209,3,1,1,1,3,4,4,1,1,1,3,4,1,4,25,13.0,0
1507,Male,Loyal Customer,27,Business travel,Business,4262,4,4,4,4,4,4,4,4,4,4,5,3,4,4,4,0.0,1
1508,Female,Loyal Customer,41,Business travel,Business,1546,5,5,5,5,3,5,5,4,4,4,4,3,4,4,0,0.0,1
1509,Male,Loyal Customer,55,Personal Travel,Eco,3923,1,1,1,4,5,1,4,5,2,1,4,4,4,5,0,0.0,0
1510,Female,disloyal Customer,42,Business travel,Eco,2076,3,3,4,4,2,4,2,2,5,4,5,1,4,2,7,0.0,0
1511,Female,Loyal Customer,42,Business travel,Eco,72,4,4,4,4,3,5,1,4,4,4,4,1,4,2,39,57.0,1
1512,Female,Loyal Customer,38,Business travel,Business,234,4,4,4,4,4,5,4,4,4,4,5,3,4,4,0,0.0,1
1513,Female,Loyal Customer,42,Business travel,Eco Plus,779,3,3,3,3,4,3,3,3,3,3,3,4,3,2,3,8.0,0
1514,Female,Loyal Customer,32,Personal Travel,Eco,1983,2,2,2,2,5,3,4,4,4,5,4,1,4,5,3,4.0,1
1515,Male,Loyal Customer,62,Business travel,Eco Plus,1760,1,2,2,2,1,1,1,1,1,4,4,1,3,1,0,8.0,0
1516,Female,Loyal Customer,34,Personal Travel,Eco,2688,2,2,2,2,2,5,4,5,5,5,5,3,5,3,15,10.0,1
1517,Female,Loyal Customer,22,Personal Travel,Eco,1775,1,1,1,1,5,5,5,5,5,5,5,3,5,5,10,6.0,1
1518,Male,Loyal Customer,29,Personal Travel,Eco,3742,3,1,3,3,3,3,3,1,3,3,3,3,1,3,0,0.0,0
1519,Male,Loyal Customer,45,Business travel,Business,3189,1,1,1,1,2,5,1,5,5,5,5,2,5,3,40,68.0,1
1520,Male,Loyal Customer,61,Personal Travel,Eco,1430,1,4,1,2,1,1,1,1,5,4,5,5,5,1,70,61.0,0
1521,Male,Loyal Customer,44,Business travel,Eco,1664,5,4,4,4,5,5,5,5,5,4,3,4,4,5,4,1.0,1
1522,Female,Loyal Customer,34,Business travel,Business,1883,4,5,5,5,2,4,4,4,4,4,4,2,4,2,0,8.0,0
1523,Female,Loyal Customer,25,Personal Travel,Eco,2039,4,2,2,2,4,2,4,4,1,3,2,4,2,4,0,0.0,1
1524,Female,Loyal Customer,63,Personal Travel,Eco,356,5,5,5,5,2,3,5,4,4,4,4,3,4,5,0,0.0,1
1525,Female,disloyal Customer,27,Business travel,Business,1787,2,1,1,3,2,1,2,2,3,3,5,5,4,2,0,0.0,0
1526,Male,disloyal Customer,33,Business travel,Business,2629,1,1,1,4,1,3,3,3,4,5,5,3,4,3,145,152.0,0
1527,Female,Loyal Customer,50,Personal Travel,Eco,203,2,2,2,2,4,4,4,4,4,5,3,1,1,4,0,0.0,1
1528,Female,disloyal Customer,39,Business travel,Business,1476,2,2,2,3,2,2,2,2,4,2,4,2,3,2,0,0.0,0
1529,Female,Loyal Customer,57,Business travel,Eco,1784,2,4,4,4,1,3,3,2,2,2,2,4,2,2,0,0.0,0
1530,Male,disloyal Customer,38,Business travel,Eco,1767,1,1,1,3,1,1,1,1,1,4,2,4,5,1,0,0.0,0
1531,Female,Loyal Customer,54,Business travel,Business,1851,1,1,1,1,3,4,4,4,4,4,4,3,4,4,9,0.0,1
1532,Female,disloyal Customer,20,Business travel,Eco,1884,2,5,2,3,1,2,1,1,3,3,5,3,5,1,0,2.0,0
1533,Male,Loyal Customer,23,Business travel,Eco,3005,4,5,5,5,4,4,3,4,1,3,3,3,4,4,14,36.0,0
1534,Male,Loyal Customer,13,Personal Travel,Eco,1960,2,3,2,3,4,2,4,4,2,3,2,1,4,4,43,38.0,0
1535,Male,Loyal Customer,51,Business travel,Business,2087,4,4,5,4,3,5,4,5,5,5,5,5,5,3,3,0.0,1
1536,Female,Loyal Customer,55,Personal Travel,Eco Plus,816,0,5,0,1,3,5,4,3,3,0,3,4,3,3,0,5.0,1
1537,Female,Loyal Customer,9,Personal Travel,Eco Plus,1373,3,3,3,3,2,5,4,4,4,4,4,4,4,5,0,0.0,1
1538,Female,Loyal Customer,58,Personal Travel,Eco,491,5,5,5,1,3,4,5,1,1,5,1,3,1,3,0,0.0,1
1539,Female,Loyal Customer,55,Personal Travel,Eco,2078,5,4,5,5,2,4,4,4,4,4,4,4,4,4,0,0.0,1
1540,Female,Loyal Customer,43,Business travel,Eco,945,5,2,2,2,3,5,4,4,4,5,4,1,4,2,0,0.0,1
1541,Male,Loyal Customer,46,Business travel,Business,2417,1,1,1,1,4,5,5,2,2,2,2,3,2,3,0,0.0,1
1542,Female,Loyal Customer,27,Business travel,Business,3822,5,5,5,5,5,4,5,5,5,3,5,3,4,5,49,34.0,1
1543,Female,disloyal Customer,16,Business travel,Business,2861,4,4,4,2,4,4,4,4,4,5,4,4,4,4,0,0.0,1
1544,Male,Loyal Customer,50,Business travel,Business,1548,5,5,5,5,4,5,5,3,3,3,3,5,3,4,0,0.0,1
1545,Male,Loyal Customer,47,Business travel,Eco,1511,5,1,3,1,5,5,5,5,4,2,3,4,1,5,0,0.0,1
1546,Female,Loyal Customer,28,Business travel,Business,3919,3,3,3,3,4,5,4,4,5,3,4,4,5,4,19,0.0,1
1547,Female,Loyal Customer,53,Business travel,Business,476,3,1,3,3,5,2,2,3,3,3,3,1,3,1,19,27.0,0
1548,Male,Loyal Customer,74,Business travel,Business,2357,4,5,5,5,4,3,4,4,4,4,4,4,4,2,0,0.0,0
1549,Female,Loyal Customer,58,Business travel,Business,3418,4,4,4,4,3,4,4,4,4,4,4,3,4,4,33,13.0,1
1550,Female,Loyal Customer,57,Business travel,Business,2843,0,5,0,3,5,4,5,4,4,4,4,3,4,3,0,0.0,1
1551,Female,Loyal Customer,14,Personal Travel,Eco Plus,2633,5,2,2,2,5,5,5,5,5,2,4,2,1,5,9,1.0,1
1552,Female,disloyal Customer,26,Business travel,Eco Plus,2192,1,0,1,2,2,1,4,2,2,3,2,4,4,2,97,102.0,0
1553,Male,Loyal Customer,60,Personal Travel,Eco,2881,2,4,2,4,3,2,3,3,4,2,4,2,3,3,0,0.0,0
1554,Female,Loyal Customer,72,Business travel,Business,2652,1,3,3,3,2,4,4,1,1,1,1,3,1,1,0,0.0,0
1555,Female,disloyal Customer,43,Business travel,Business,4029,2,2,2,5,1,2,1,1,4,4,4,4,5,1,19,0.0,0
1556,Female,Loyal Customer,26,Personal Travel,Eco,1601,3,3,3,3,2,4,5,5,5,4,5,3,5,3,0,0.0,1
1557,Male,Loyal Customer,23,Business travel,Business,1463,4,4,4,4,4,4,4,4,4,5,3,2,3,4,0,0.0,1
1558,Female,Loyal Customer,44,Business travel,Business,1066,2,2,2,2,4,1,5,4,4,5,4,5,4,3,0,0.0,1
1559,Female,Loyal Customer,18,Personal Travel,Eco,1655,2,2,2,2,5,5,4,5,5,5,5,3,5,4,0,0.0,1
1560,Female,Loyal Customer,51,Personal Travel,Eco,323,4,1,4,4,2,4,2,2,2,1,2,1,3,2,0,0.0,1
1561,Male,Loyal Customer,35,Personal Travel,Eco,1842,3,5,3,4,5,3,3,5,2,2,1,3,5,5,0,0.0,0
1562,Male,Loyal Customer,25,Personal Travel,Eco,2916,2,5,2,3,2,2,2,2,5,2,4,4,5,2,77,57.0,0
1563,Male,Loyal Customer,50,Personal Travel,Eco,2408,1,4,1,2,5,1,5,5,4,3,4,4,4,5,24,45.0,0
1564,Male,Loyal Customer,38,Personal Travel,Business,923,3,3,3,3,5,3,3,3,3,3,4,4,3,3,7,0.0,0
1565,Female,Loyal Customer,54,Business travel,Business,861,5,5,4,5,5,4,4,5,5,5,5,3,5,4,0,0.0,1
1566,Male,Loyal Customer,59,Business travel,Eco,2675,3,3,3,3,4,3,4,4,2,4,2,2,1,4,0,0.0,0
1567,Male,Loyal Customer,20,Personal Travel,Eco,2179,1,5,1,4,2,1,2,2,3,5,3,5,4,2,0,10.0,0
1568,Female,Loyal Customer,56,Business travel,Business,1023,5,5,5,5,2,5,4,4,4,4,4,3,4,3,0,0.0,1
1569,Female,Loyal Customer,42,Business travel,Eco,461,5,4,4,4,1,3,3,5,5,5,5,5,5,4,1,1.0,1
1570,Male,Loyal Customer,25,Business travel,Business,3513,4,4,4,4,4,4,4,4,5,2,4,3,5,4,0,0.0,1
1571,Female,disloyal Customer,23,Business travel,Eco,2650,3,3,3,4,4,3,4,4,4,2,4,1,3,4,0,0.0,0
1572,Female,disloyal Customer,36,Business travel,Eco Plus,1975,3,3,3,3,3,3,3,3,1,4,4,4,3,3,22,16.0,0
1573,Male,Loyal Customer,35,Business travel,Eco,1898,4,5,5,5,4,4,4,4,5,3,4,4,3,4,0,0.0,1
1574,Male,Loyal Customer,58,Business travel,Business,745,5,5,5,5,2,4,4,3,3,3,3,3,3,5,0,0.0,1
1575,Female,Loyal Customer,20,Personal Travel,Eco,2610,5,4,5,2,2,5,4,1,1,5,1,4,1,4,20,17.0,1
1576,Male,disloyal Customer,24,Business travel,Eco,1935,4,0,4,4,3,4,1,3,5,3,4,4,4,3,21,83.0,1
1577,Female,Loyal Customer,11,Business travel,Business,2136,2,4,4,4,2,2,2,2,2,5,4,2,4,2,72,62.0,0
1578,Female,Loyal Customer,62,Business travel,Business,3282,4,4,4,4,2,5,5,3,3,4,3,4,3,4,24,22.0,1
1579,Female,Loyal Customer,22,Personal Travel,Eco,1612,0,3,0,3,5,0,5,5,4,2,3,2,4,5,0,0.0,1
1580,Male,disloyal Customer,28,Business travel,Eco,2551,2,4,2,1,2,2,2,5,1,3,5,2,5,2,209,207.0,0
